word_len,word
2,いす
2,あお
2,あか
3,きいろ
3,みどり
3,すいか
3,あいす
3,たかす
3,めだか
3,おにく
4,ちゃいろ
4,まっちゃ
4,たこやき
4,みずうみ
4,ふじさん
4,ぺんぎん
5,はつねみく
5,すずめばち
6,さかなをつる
7,きけんせいぶつ
8,どらごんぼーる
11,とうきょうすかいつりー
5,きーぼーど
5,じゃんけん
3,びっと
2,すし
4,てきすと
6,かくちょうし
4,たいよう
5,けちゃっぷ
5,まよねーず
3,とまと
5,はんばーぐ
9,りゅうぐうのつかい
8,うちゅうひこうし
8,えいせいほうそう
8,えきしょうてれび
8,おうきゅうてあて
8,おれんじじゅーす
8,おんせんりょかん
8,かそうぎょうれつ
8,かぶしきがいしゃ
8,がそりんすたんど
8,きゅうしゅうしゃ
8,きゃっしゅかーど
8,けんこうしんだん
8,こうこうやきゅう
8,さっかーせんしゅ
8,さんふらんしすこ
8,しゃしんさつえい
8,しょうゆらーめん
8,しんけんしょうぶ
8,しんこんりょこう
8,すとっぷうぉっち
8,すぽーつせんしゅ
8,すもーくさーもん
8,ちぇっくぽいんと
8,はんじゅくたまご
8,ふぁーすとくらす
8,ふれんちとーすと
8,まかだみあなっつ
8,みなみはんきゅう
8,みるくきゃらめる
8,めりーごーらんど
8,やきゅうせんしゅ
8,ゆうびんばんごう
8,りゅうぐうじょう
8,りょうめんてーぷ
9,えめらるどぐりーん
9,かいちゅうでんとう
9,ぎゅうにゅうぱっく
9,じぇっとこーすたー
9,すーぱーまーけっと
9,しゅうがくりょこう
6,ちょこれーと
9,ひゃくにんいっしゅ
9,ひょうしょうじょう
9,ふぁっしょんしょー
9,れいとうしょくひん
9,ろしあんるーれっと
5,れんとげん
4,あいどる
4,いのしし
4,いべんと
4,うぐいす
4,えじそん
4,えじぷと
4,おおさか
4,かいがん
4,かきぞめ
4,かていか
4,かんづめ
4,くうこう
4,くじびき
4,くしゃみ
4,くだもの
4,くつひも
4,くものす
4,けしごむ
4,こうさく
4,こうもり
4,こくはく
4,こづつみ
4,さーびす
4,さいころ
4,さかさま
4,さかだち
4,しまうま
4,しんばる
4,すいっち
4,すいとう
4,すずむし
4,すたーと
4,すたみな
4,すぺいん
4,せいふく
4,せいぶつ
4,せんざい
4,せんせい
4,そうじき
4,そうだん
4,そうめん
4,そろばん
4,たいいく
4,たいとる
4,たいよう
4,たくしー
4,たけのこ
4,たまねぎ
4,ちかみち
4,つめきり
4,てかがみ
4,とらっく
4,とりけし
4,とんかち
4,とんかつ
4,なわとび
4,にせもの
4,にゅーす
4,にわとり
4,にんじゃ
4,ぬけあな
4,ぬけがけ
4,ねくたい
4,ねこじた
4,はなよめ
4,ふじさん
4,ふでばこ
4,みかづき
4,めぐすり
4,むぎちゃ
4,むしかご
4,もちつき
4,やきいも
4,やきそば
4,やきとり
4,やきにく
4,よこづな
4,らいおん
4,らくがき
4,りょこう
4,れしーと
4,ろうそく
4,ろんどん
5,あげはちょう
5,いちにんまえ
5,いろえんぴつ
5,うちゅうじん
5,えんどうまめ
5,おいなりさん
5,おうえんだん
5,おおがねもち
5,おさななじみ
5,おしょうがつ
5,おじょうさん
5,おとぎばなし
5,おばけやしき
5,おもちゃばこ
5,かいしゃいん
5,かいすいよく
5,かいてんずし
5,かいらんばん
5,かみなりぐも
5,かんらんしゃ
5,きねんきって
5,きゅうしゅう
5,きょうかしょ
5,きょうりゅう
5,けいろうのひ
5,けしょうひん
5,けつえきがた
5,こうがくねん
5,こうこうせい
5,さくらふぶき
5,さらいしゅう
5,さんごしょう
5,さんりんしゃ
5,しょうりゃく
5,しょしんしゃ
5,しょたいめん
5,しんかんせん
5,しんたいそう
5,しんぶんしゃ
5,せいほうけい
5,せかいきろく
5,せんすいかん
5,せんたくもの
5,そうじゅうし
5,そだちざかり
5,たいいくかん
5,だいがくせい
5,たいへいよう
5,だいぼうけん
5,たぬきうどん
5,たべほうだい
5,たんけんたい
5,たんじょうび
5,ちからくらべ
5,ちょうおんぱ
5,ちょうきょり
5,つきみだんご
5,ていきゅうび
5,てんきよほう
5,でんわちょう
5,とうもろこし
5,とおりすがり
5,とけいまわり
5,としこしそば
5,とりかえっこ
5,なみうちぎわ
5,にんぎょひめ
5,ねんがじょう
5,ねんどざいく
4,あーにゃ
3,ねんど
3,くるま
3,おんぷ
3,ひざし
3,のーと
3,すてき
3,なっつ
3,さかな
3,わらう
3,かふぇ
3,くすり
3,きっぷ
3,りんご
3,ぶどう
3,みかん
3,いちご
3,てんし
3,くるみ
3,りぼん
3,おいも
3,すずめ
3,からす
3,きんぐ
2,りす
2,とり
2,いか
2,ふく
2,かみ
2,くも
6,ぱいなっぷる
6,ばーべきゅー
6,はんばーがー
6,ぺっとぼとる
6,ほうれんそう
6,ますくめろん
6,ほっとけーき
6,わいんぐらす
6,れもんてぃー
6,やくそくごと
6,みりょくてき
6,みずようかん
6,みちあんない
6,まんねんひつ
6,よていひょう
6,むかしばなし
6,みーとそーす
6,みーとぼーる
6,ゆきがっせん
6,りふれっしゅ
6,てーまそんぐ
6,どっじぼーる
7,かっぷらーめん
7,しゅーくりーむ
7,きんぎょすくい
7,しょうがっこう
7,めざましどけい
7,みたらしだんご
7,あいすくりーむ
7,おーすとらりあ
7,うちあげはなび
7,きょうぎじょう
7,げーむせんたー
7,こうそくどうろ
7,こんぴゅーたー
7,いんたーねっと
